step,hour,pv_power_w,load_power_w,battery_soc_pct,battery_power_w,ev_power_w,grid_power_w,relay_recommendation,flexible_load_command,ev_charger_command,battery_mode,target_ev_power_w,reason
0,0.0,0,862,54.64,-862,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
1,0.17,0,975,54.23,-975,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
2,0.33,0,1227,53.72,-1227,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
3,0.5,0,1229,53.21,-1229,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
4,0.67,0,894,52.84,-894,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
5,0.83,0,866,52.48,-866,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
6,1.0,0,961,52.08,-961,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
7,1.17,0,1158,51.59,-1158,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
8,1.33,0,951,51.2,-951,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
9,1.5,0,1209,50.7,-1209,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
10,1.67,0,962,50.29,-962,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
11,1.83,0,992,49.88,-992,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
12,2.0,0,853,49.53,-853,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
13,2.17,0,931,49.14,-931,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
14,2.33,0,1024,48.71,-1024,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
15,2.5,0,960,48.31,-960,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
16,2.67,0,1022,47.88,-1022,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
17,2.83,0,1044,47.45,-1044,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
18,3.0,0,1283,46.92,-1283,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
19,3.17,0,985,46.5,-985,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
20,3.33,0,1223,46.0,-1223,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
21,3.5,0,913,45.61,-913,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
22,3.67,0,1043,45.18,-1043,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
23,3.83,0,1000,44.76,-1000,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
24,4.0,0,1166,44.28,-1166,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
25,4.17,0,1035,43.85,-1035,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
26,4.33,0,1210,43.34,-1210,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
27,4.5,0,1188,42.85,-1188,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
28,4.67,0,998,42.43,-998,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
29,4.83,0,1287,41.9,-1287,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
30,5.0,0,901,41.52,-901,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
31,5.17,0,1082,41.07,-1082,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
32,5.33,0,1036,40.64,-1036,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
33,5.5,0,1031,40.21,-1031,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
34,5.67,0,986,39.8,-986,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
35,5.83,0,1199,39.3,-1199,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
36,6.0,0,1161,38.81,-1161,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
